Areaname,STCOU,SEX100200F,SEX100200D,SEX100200N1,SEX100200N2,SEX100210F,SEX100210D,SEX100210N1,SEX100210N2,SEX120200F,SEX120200D,SEX120200N1,SEX120200N2,SEX150200F,SEX150200D,SEX150200N1,SEX150200N2,SEX150201F,SEX150201D,SEX150201N1,SEX150201N2,SEX150202F,SEX150202D,SEX150202N1,SEX150202N2,SEX150203F,SEX150203D,SEX150203N1,SEX150203N2,SEX150204F,SEX150204D,SEX150204N1,SEX150204N2,SEX150205F,SEX150205D,SEX150205N1,SEX150205N2,SEX150206F,SEX150206D,SEX150206N1,SEX150206N2
"Wabash, IN",18169,0,16957,0000,0000,0,15974,0000,0000,0,16957,0000,0000,0,16964,0000,0000,0,16799,0000,0000,0,16653,0000,0000,0,16554,0000,0000,0,16431,0000,0000,0,16252,0000,0000,0,16167,0000,0000
"Warren, IN",18171,0,4267,0000,0000,0,4269,0000,0000,0,4267,0000,0000,0,4281,0000,0000,0,4352,0000,0000,0,4371,0000,0000,0,4360,0000,0000,0,4364,0000,0000,0,4363,0000,0000,0,4359,0000,0000
"Warrick, IN",18173,0,25734,0000,0000,0,29402,0000,0000,0,25734,0000,0000,0,25801,0000,0000,0,25907,0000,0000,0,26166,0000,0000,0,26709,0000,0000,0,27063,0000,0000,0,27491,0000,0000,0,27786,0000,0000
"Washington, IN",18175,0,13620,0000,0000,0,14113,0000,0000,0,13620,0000,0000,0,13651,0000,0000,0,13754,0000,0000,0,13839,0000,0000,0,13835,0000,0000,0,13858,0000,0000,0,13848,0000,0000,0,13967,0000,0000
"Wayne, IN",18177,0,34138,0000,0000,0,33463,0000,0000,0,34138,0000,0000,0,34101,0000,0000,0,33829,0000,0000,0,33692,0000,0000,0,33592,0000,0000,0,33271,0000,0000,0,33070,0000,0000,0,32910,0000,0000
"Wells, IN",18179,0,13613,0000,0000,0,13602,0000,0000,0,13613,0000,0000,0,13612,0000,0000,0,13615,0000,0000,0,13679,0000,0000,0,13706,0000,0000,0,13719,0000,0000,0,13718,0000,0000,0,13745,0000,0000
"White, IN",18181,0,12429,0000,0000,0,12120,0000,0000,0,12429,0000,0000,0,12409,0000,0000,0,12381,0000,0000,0,12270,0000,0000,0,12116,0000,0000,0,11999,0000,0000,0,11899,0000,0000,0,11841,0000,0000
"Whitley, IN",18183,0,15238,0000,0000,0,16553,0000,0000,0,15238,0000,0000,0,15251,0000,0000,0,15442,0000,0000,0,15563,0000,0000,0,15697,0000,0000,0,15812,0000,0000,0,15952,0000,0000,0,16149,0000,0000
IOWA,19000,0,1435515,0000,0000,0,1508319,0000,0000,0,1435540,0000,0000,0,1436738,0000,0000,0,1438196,0000,0000,0,1439942,0000,0000,0,1442729,0000,0000,0,1447644,0000,0000,0,1452821,0000,0000,0,1460976,0000,0000
"Adair, IA",19001,0,4036,0000,0000,0,3807,0000,0000,0,4036,0000,0000,0,4020,0000,0000,0,3963,0000,0000,0,3910,0000,0000,0,3879,0000,0000,0,3845,0000,0000,0,3789,0000,0000,0,3765,0000,0000
"Adams, IA",19003,0,2203,0000,0000,0,1994,0000,0000,0,2203,0000,0000,0,2198,0000,0000,0,2168,0000,0000,0,2145,0000,0000,0,2133,0000,0000,0,2109,0000,0000,0,2060,0000,0000,0,2061,0000,0000
"Allamakee, IA",19005,0,7346,0000,0000,0,7310,0000,0000,0,7346,0000,0000,0,7346,0000,0000,0,7195,0000,0000,0,7207,0000,0000,0,7264,0000,0000,0,7289,0000,0000,0,7318,0000,0000,0,7347,0000,0000
"Appanoose, IA",19007,0,6556,0000,0000,0,6271,0000,0000,0,6557,0000,0000,0,6551,0000,0000,0,6468,0000,0000,0,6391,0000,0000,0,6432,0000,0000,0,6389,0000,0000,0,6379,0000,0000,0,6314,0000,0000
"Audubon, IA",19009,0,3273,0000,0000,0,2957,0000,0000,0,3273,0000,0000,0,3262,0000,0000,0,3176,0000,0000,0,3132,0000,0000,0,3084,0000,0000,0,3055,0000,0000,0,2995,0000,0000,0,2965,0000,0000
"Benton, IA",19011,0,12652,0000,0000,0,13027,0000,0000,0,12651,0000,0000,0,12672,0000,0000,0,12822,0000,0000,0,13010,0000,0000,0,13076,0000,0000,0,13237,0000,0000,0,13334,0000,0000,0,13327,0000,0000
"Black Hawk, IA",19013,0,61458,0000,0000,0,63708,0000,0000,0,61458,0000,0000,0,61457,0000,0000,0,61288,0000,0000,0,60833,0000,0000,0,60623,0000,0000,0,60698,0000,0000,0,60856,0000,0000,0,61043,0000,0000
"Boone, IA",19015,0,12837,0000,0000,0,13202,0000,0000,0,12832,0000,0000,0,12852,0000,0000,0,12852,0000,0000,0,12755,0000,0000,0,12834,0000,0000,0,12884,0000,0000,0,12931,0000,0000,0,12921,0000,0000
"Bremer, IA",19017,0,11274,0000,0000,0,11869,0000,0000,0,11274,0000,0000,0,11253,0000,0000,0,11335,0000,0000,0,11258,0000,0000,0,11316,0000,0000,0,11377,0000,0000,0,11406,0000,0000,0,11488,0000,0000
"Buchanan, IA",19019,0,10476,0000,0000,0,10401,0000,0000,0,10476,0000,0000,0,10469,0000,0000,0,10411,0000,0000,0,10327,0000,0000,0,10346,0000,0000,0,10408,0000,0000,0,10367,0000,0000,0,10448,0000,0000
"Buena Vista, IA",19021,0,10225,0000,0000,0,10142,0000,0000,0,10225,0000,0000,0,10200,0000,0000,0,10124,0000,0000,0,10106,0000,0000,0,10061,0000,0000,0,9974,0000,0000,0,9973,0000,0000,0,9907,0000,0000
"Butler, IA",19023,0,7505,0000,0000,0,7337,0000,0000,0,7505,0000,0000,0,7500,0000,0000,0,7381,0000,0000,0,7311,0000,0000,0,7299,0000,0000,0,7302,0000,0000,0,7301,0000,0000,0,7276,0000,0000
"Calhoun, IA",19025,0,5505,0000,0000,0,4697,0000,0000,0,5505,0000,0000,0,5494,0000,0000,0,5460,0000,0000,0,5388,0000,0000,0,5307,0000,0000,0,5232,0000,0000,0,5185,0000,0000,0,5109,0000,0000
"Carroll, IA",19027,0,10441,0000,0000,0,10141,0000,0000,0,10445,0000,0000,0,10418,0000,0000,0,10328,0000,0000,0,10321,0000,0000,0,10239,0000,0000,0,10208,0000,0000,0,10224,0000,0000,0,10164,0000,0000
"Cass, IA",19029,0,7126,0000,0000,0,6819,0000,0000,0,7126,0000,0000,0,7120,0000,0000,0,7036,0000,0000,0,6918,0000,0000,0,6940,0000,0000,0,6872,0000,0000,0,6814,0000,0000,0,6826,0000,0000
"Cedar, IA",19031,0,8977,0000,0000,0,9151,0000,0000,0,8977,0000,0000,0,8985,0000,0000,0,8935,0000,0000,0,8932,0000,0000,0,8932,0000,0000,0,8928,0000,0000,0,8867,0000,0000,0,8902,0000,0000
"Cerro Gordo, IA",19033,0,22354,0000,0000,0,21542,0000,0000,0,22354,0000,0000,0,22315,0000,0000,0,22049,0000,0000,0,21791,0000,0000,0,21748,0000,0000,0,21530,0000,0000,0,21381,0000,0000,0,21265,0000,0000
"Cherokee, IA",19035,0,6430,0000,0000,0,5954,0000,0000,0,6429,0000,0000,0,6421,0000,0000,0,6338,0000,0000,0,6194,0000,0000,0,6110,0000,0000,0,6029,0000,0000,0,5934,0000,0000,0,5804,0000,0000
"Chickasaw, IA",19037,0,6550,0000,0000,0,6255,0000,0000,0,6550,0000,0000,0,6535,0000,0000,0,6533,0000,0000,0,6392,0000,0000,0,6291,0000,0000,0,6241,0000,0000,0,6152,0000,0000,0,6137,0000,0000
"Clarke, IA",19039,0,4496,0000,0000,0,4626,0000,0000,0,4496,0000,0000,0,4525,0000,0000,0,4529,0000,0000,0,4543,0000,0000,0,4571,0000,0000,0,4573,0000,0000,0,4510,0000,0000,0,4505,0000,0000
"Clay, IA",19041,0,8385,0000,0000,0,8171,0000,0000,0,8385,0000,0000,0,8389,0000,0000,0,8352,0000,0000,0,8271,0000,0000,0,8246,0000,0000,0,8227,0000,0000,0,8178,0000,0000,0,8158,0000,0000
"Clayton, IA",19043,0,9224,0000,0000,0,9079,0000,0000,0,9224,0000,0000,0,9193,0000,0000,0,9122,0000,0000,0,9027,0000,0000,0,8998,0000,0000,0,8944,0000,0000,0,8872,0000,0000,0,8843,0000,0000
"Clinton, IA",19045,0,24341,0000,0000,0,24165,0000,0000,0,24341,0000,0000,0,24296,0000,0000,0,24195,0000,0000,0,24125,0000,0000,0,24058,0000,0000,0,24050,0000,0000,0,23997,0000,0000,0,23965,0000,0000
"Crawford, IA",19047,0,8510,0000,0000,0,8685,0000,0000,0,8510,0000,0000,0,8507,0000,0000,0,8509,0000,0000,0,8509,0000,0000,0,8466,0000,0000,0,8438,0000,0000,0,8398,0000,0000,0,8340,0000,0000
"Dallas, IA",19049,0,20143,0000,0000,0,32349,0000,0000,0,20162,0000,0000,0,20317,0000,0000,0,21139,0000,0000,0,21975,0000,0000,0,23018,0000,0000,0,24605,0000,0000,0,25842,0000,0000,0,27259,0000,0000
"Davis, IA",19051,0,4226,0000,0000,0,4340,0000,0000,0,4226,0000,0000,0,4226,0000,0000,0,4245,0000,0000,0,4246,0000,0000,0,4221,0000,0000,0,4268,0000,0000,0,4254,0000,0000,0,4261,0000,0000
"Decatur, IA",19053,0,4248,0000,0000,0,4238,0000,0000,0,4248,0000,0000,0,4234,0000,0000,0,4238,0000,0000,0,4191,0000,0000,0,4158,0000,0000,0,4157,0000,0000,0,4166,0000,0000,0,4122,0000,0000
"Delaware, IA",19055,0,9126,0000,0000,0,8875,0000,0000,0,9126,0000,0000,0,9120,0000,0000,0,9042,0000,0000,0,9006,0000,0000,0,8936,0000,0000,0,8860,0000,0000,0,8779,0000,0000,0,8768,0000,0000
"Des Moines, IA",19057,0,20459,0000,0000,0,19600,0000,0000,0,20459,0000,0000,0,20433,0000,0000,0,20283,0000,0000,0,20000,0000,0000,0,19915,0000,0000,0,19747,0000,0000,0,19670,0000,0000,0,19640,0000,0000
"Dickinson, IA",19059,0,8001,0000,0000,0,8260,0000,0000,0,8001,0000,0000,0,8023,0000,0000,0,8034,0000,0000,0,7977,0000,0000,0,7998,0000,0000,0,8077,0000,0000,0,8142,0000,0000,0,8158,0000,0000
"Dubuque, IA",19061,0,43297,0000,0000,0,46132,0000,0000,0,43304,0000,0000,0,43349,0000,0000,0,43228,0000,0000,0,43397,0000,0000,0,43903,0000,0000,0,44204,0000,0000,0,44392,0000,0000,0,44622,0000,0000
"Emmet, IA",19063,0,5355,0000,0000,0,5143,0000,0000,0,5355,0000,0000,0,5341,0000,0000,0,5294,0000,0000,0,5271,0000,0000,0,5242,0000,0000,0,5163,0000,0000,0,5152,0000,0000,0,5116,0000,0000
"Fayette, IA",19065,0,10867,0000,0000,0,10432,0000,0000,0,10867,0000,0000,0,10863,0000,0000,0,10716,0000,0000,0,10614,0000,0000,0,10537,0000,0000,0,10403,0000,0000,0,10391,0000,0000,0,10289,0000,0000
"Floyd, IA",19067,0,8164,0000,0000,0,7989,0000,0000,0,8164,0000,0000,0,8143,0000,0000,0,8038,0000,0000,0,8025,0000,0000,0,8000,0000,0000,0,7972,0000,0000,0,7944,0000,0000,0,7972,0000,0000
"Franklin, IA",19069,0,5254,0000,0000,0,5380,0000,0000,0,5254,0000,0000,0,5246,0000,0000,0,5229,0000,0000,0,5275,0000,0000,0,5275,0000,0000,0,5328,0000,0000,0,5360,0000,0000,0,5336,0000,0000
"Fremont, IA",19071,0,3912,0000,0000,0,3695,0000,0000,0,3912,0000,0000,0,3907,0000,0000,0,3843,0000,0000,0,3817,0000,0000,0,3803,0000,0000,0,3768,0000,0000,0,3745,0000,0000,0,3761,0000,0000
"Greene, IA",19073,0,5063,0000,0000,0,4613,0000,0000,0,5063,0000,0000,0,5050,0000,0000,0,4949,0000,0000,0,4932,0000,0000,0,4874,0000,0000,0,4849,0000,0000,0,4788,0000,0000,0,4689,0000,0000
"Grundy, IA",19075,0,6050,0000,0000,0,6156,0000,0000,0,6050,0000,0000,0,6050,0000,0000,0,6017,0000,0000,0,6030,0000,0000,0,6016,0000,0000,0,6027,0000,0000,0,6041,0000,0000,0,6049,0000,0000
"Guthrie, IA",19077,0,5609,0000,0000,0,5443,0000,0000,0,5609,0000,0000,0,5603,0000,0000,0,5554,0000,0000,0,5557,0000,0000,0,5615,0000,0000,0,5643,0000,0000,0,5577,0000,0000,0,5522,0000,0000
"Hamilton, IA",19079,0,8137,0000,0000,0,7792,0000,0000,0,8136,0000,0000,0,8129,0000,0000,0,8022,0000,0000,0,8050,0000,0000,0,8044,0000,0000,0,7973,0000,0000,0,7927,0000,0000,0,7837,0000,0000
"Hancock, IA",19081,0,5951,0000,0000,0,5656,0000,0000,0,5951,0000,0000,0,5949,0000,0000,0,5857,0000,0000,0,5780,0000,0000,0,5809,0000,0000,0,5761,0000,0000,0,5733,0000,0000,0,5680,0000,0000
"Hardin, IA",19083,0,9200,0000,0000,0,8717,0000,0000,0,9200,0000,0000,0,9206,0000,0000,0,9134,0000,0000,0,9035,0000,0000,0,8941,0000,0000,0,8842,0000,0000,0,8750,0000,0000,0,8678,0000,0000
"Harrison, IA",19085,0,7695,0000,0000,0,7348,0000,0000,0,7695,0000,0000,0,7710,0000,0000,0,7663,0000,0000,0,7611,0000,0000,0,7639,0000,0000,0,7630,0000,0000,0,7621,0000,0000,0,7620,0000,0000
"Henry, IA",19087,0,10294,0000,0000,0,10310,0000,0000,0,10294,0000,0000,0,10270,0000,0000,0,10293,0000,0000,0,10122,0000,0000,0,10241,0000,0000,0,10223,0000,0000,0,10280,0000,0000,0,10262,0000,0000
"Howard, IA",19089,0,4891,0000,0000,0,4746,0000,0000,0,4892,0000,0000,0,4887,0000,0000,0,4879,0000,0000,0,4868,0000,0000,0,4830,0000,0000,0,4817,0000,0000,0,4785,0000,0000,0,4728,0000,0000
"Humboldt, IA",19091,0,5077,0000,0000,0,4847,0000,0000,0,5077,0000,0000,0,5072,0000,0000,0,5034,0000,0000,0,4934,0000,0000,0,4910,0000,0000,0,4886,0000,0000,0,4839,0000,0000,0,4834,0000,0000
"Ida, IA",19093,0,3796,0000,0000,0,3539,0000,0000,0,3797,0000,0000,0,3777,0000,0000,0,3719,0000,0000,0,3685,0000,0000,0,3642,0000,0000,0,3554,0000,0000,0,3490,0000,0000,0,3420,0000,0000
"Iowa, IA",19095,0,7635,0000,0000,0,8069,0000,0000,0,7635,0000,0000,0,7656,0000,0000,0,7699,0000,0000,0,7694,0000,0000,0,7745,0000,0000,0,7748,0000,0000,0,7820,0000,0000,0,7827,0000,0000
"Jackson, IA",19097,0,9997,0000,0000,0,9846,0000,0000,0,9997,0000,0000,0,10003,0000,0000,0,9970,0000,0000,0,9910,0000,0000,0,9913,0000,0000,0,9930,0000,0000,0,9920,0000,0000,0,9905,0000,0000
"Jasper, IA",19099,0,18756,0000,0000,0,18764,0000,0000,0,18756,0000,0000,0,18761,0000,0000,0,18824,0000,0000,0,18908,0000,0000,0,18997,0000,0000,0,18950,0000,0000,0,18872,0000,0000,0,18761,0000,0000
"Jefferson, IA",19101,0,7920,0000,0000,0,8997,0000,0000,0,7920,0000,0000,0,7907,0000,0000,0,7854,0000,0000,0,7755,0000,0000,0,7725,0000,0000,0,7705,0000,0000,0,7645,0000,0000,0,7604,0000,0000
"Johnson, IA",19103,0,55254,0000,0000,0,65462,0000,0000,0,55254,0000,0000,0,55467,0000,0000,0,56575,0000,0000,0,57370,0000,0000,0,58188,0000,0000,0,59279,0000,0000,0,59898,0000,0000,0,60723,0000,0000
"Jones, IA",19105,0,10558,0000,0000,0,10713,0000,0000,0,10558,0000,0000,0,10557,0000,0000,0,10607,0000,0000,0,10606,0000,0000,0,10639,0000,0000,0,10702,0000,0000,0,10685,0000,0000,0,10719,0000,0000
"Keokuk, IA",19107,0,5528,0000,0000,0,5226,0000,0000,0,5528,0000,0000,0,5538,0000,0000,0,5533,0000,0000,0,5533,0000,0000,0,5479,0000,0000,0,5413,0000,0000,0,5327,0000,0000,0,5265,0000,0000
"Kossuth, IA",19109,0,8377,0000,0000,0,7708,0000,0000,0,8377,0000,0000,0,8359,0000,0000,0,8204,0000,0000,0,8080,0000,0000,0,8000,0000,0000,0,7943,0000,0000,0,7833,0000,0000,0,7691,0000,0000
"Lee, IA",19111,0,18822,0000,0000,0,18131,0000,0000,0,18822,0000,0000,0,18760,0000,0000,0,18497,0000,0000,0,18273,0000,0000,0,18081,0000,0000,0,18107,0000,0000,0,17957,0000,0000,0,17922,0000,0000
"Linn, IA",19113,0,93965,0000,0000,0,103950,0000,0000,0,93966,0000,0000,0,94279,0000,0000,0,95295,0000,0000,0,96083,0000,0000,0,96497,0000,0000,0,97118,0000,0000,0,98151,0000,0000,0,99263,0000,0000
"Louisa, IA",19115,0,6059,0000,0000,0,5793,0000,0000,0,6059,0000,0000,0,6052,0000,0000,0,6052,0000,0000,0,6072,0000,0000,0,6082,0000,0000,0,6011,0000,0000,0,5878,0000,0000,0,5897,0000,0000
"Lucas, IA",19117,0,4579,0000,0000,0,4432,0000,0000,0,4579,0000,0000,0,4570,0000,0000,0,4605,0000,0000,0,4595,0000,0000,0,4620,0000,0000,0,4696,0000,0000,0,4695,0000,0000,0,4673,0000,0000
"Lyon, IA",19119,0,5834,0000,0000,0,5783,0000,0000,0,5834,0000,0000,0,5825,0000,0000,0,5783,0000,0000,0,5768,0000,0000,0,5781,0000,0000,0,5750,0000,0000,0,5735,0000,0000,0,5670,0000,0000
"Madison, IA",19121,0,6918,0000,0000,0,7797,0000,0000,0,6918,0000,0000,0,6939,0000,0000,0,6990,0000,0000,0,7105,0000,0000,0,7180,0000,0000,0,7304,0000,0000,0,7406,0000,0000,0,7598,0000,0000
"Mahaska, IA",19123,0,11116,0000,0000,0,11252,0000,0000,0,11116,0000,0000,0,11103,0000,0000,0,11168,0000,0000,0,11155,0000,0000,0,11026,0000,0000,0,11063,0000,0000,0,11156,0000,0000,0,11074,0000,0000
"Marion, IA",19125,0,15910,0000,0000,0,16541,0000,0000,0,15910,0000,0000,0,15935,0000,0000,0,16134,0000,0000,0,16096,0000,0000,0,16030,0000,0000,0,16023,0000,0000,0,16078,0000,0000,0,16328,0000,0000
"Marshall, IA",19127,0,19581,0000,0000,0,20428,0000,0000,0,19581,0000,0000,0,19584,0000,0000,0,19543,0000,0000,0,19407,0000,0000,0,19427,0000,0000,0,19475,0000,0000,0,19377,0000,0000,0,19315,0000,0000
"Mills, IA",19129,0,7297,0000,0000,0,7572,0000,0000,0,7297,0000,0000,0,7303,0000,0000,0,7268,0000,0000,0,7320,0000,0000,0,7352,0000,0000,0,7412,0000,0000,0,7482,0000,0000,0,7652,0000,0000
"Mitchell, IA",19131,0,5318,0000,0000,0,5309,0000,0000,0,5317,0000,0000,0,5316,0000,0000,0,5264,0000,0000,0,5301,0000,0000,0,5302,0000,0000,0,5345,0000,0000,0,5302,0000,0000,0,5326,0000,0000
"Monona, IA",19133,0,4861,0000,0000,0,4516,0000,0000,0,4861,0000,0000,0,4853,0000,0000,0,4765,0000,0000,0,4722,0000,0000,0,4709,0000,0000,0,4621,0000,0000,0,4553,0000,0000,0,4496,0000,0000
"Monroe, IA",19135,0,3904,0000,0000,0,3976,0000,0000,0,3904,0000,0000,0,3901,0000,0000,0,3869,0000,0000,0,3805,0000,0000,0,3820,0000,0000,0,3806,0000,0000,0,3786,0000,0000,0,3747,0000,0000
"Montgomery, IA",19137,0,5581,0000,0000,0,5209,0000,0000,0,5581,0000,0000,0,5593,0000,0000,0,5452,0000,0000,0,5367,0000,0000,0,5311,0000,0000,0,5311,0000,0000,0,5329,0000,0000,0,5319,0000,0000
"Muscatine, IA",19139,0,20661,0000,0000,0,21227,0000,0000,0,20661,0000,0000,0,20706,0000,0000,0,20724,0000,0000,0,20750,0000,0000,0,20659,0000,0000,0,20749,0000,0000,0,20890,0000,0000,0,21023,0000,0000
"O'Brien, IA",19141,0,7390,0000,0000,0,7166,0000,0000,0,7390,0000,0000,0,7373,0000,0000,0,7307,0000,0000,0,7218,0000,0000,0,7172,0000,0000,0,7056,0000,0000,0,7043,0000,0000,0,7014,0000,0000
"Osceola, IA",19143,0,3411,0000,0000,0,3243,0000,0000,0,3411,0000,0000,0,3401,0000,0000,0,3388,0000,0000,0,3346,0000,0000,0,3353,0000,0000,0,3337,0000,0000,0,3277,0000,0000,0,3251,0000,0000
"Page, IA",19145,0,8603,0000,0000,0,8261,0000,0000,0,8603,0000,0000,0,8578,0000,0000,0,8563,0000,0000,0,8346,0000,0000,0,8242,0000,0000,0,8168,0000,0000,0,8190,0000,0000,0,8241,0000,0000
"Palo Alto, IA",19147,0,4935,0000,0000,0,4678,0000,0000,0,4935,0000,0000,0,4932,0000,0000,0,4890,0000,0000,0,4816,0000,0000,0,4731,0000,0000,0,4733,0000,0000,0,4695,0000,0000,0,4629,0000,0000
"Plymouth, IA",19149,0,12350,0000,0000,0,12373,0000,0000,0,12350,0000,0000,0,12354,0000,0000,0,12314,0000,0000,0,12244,0000,0000,0,12264,0000,0000,0,12327,0000,0000,0,12263,0000,0000,0,12232,0000,0000
"Pocahontas, IA",19151,0,4256,0000,0000,0,3633,0000,0000,0,4256,0000,0000,0,4227,0000,0000,0,4154,0000,0000,0,4109,0000,0000,0,4015,0000,0000,0,3923,0000,0000,0,3847,0000,0000,0,3778,0000,0000
"Polk, IA",19153,0,181739,0000,0000,0,211171,0000,0000,0,181718,0000,0000,0,182426,0000,0000,0,185037,0000,0000,0,187597,0000,0000,0,189700,0000,0000,0,191493,0000,0000,0,195575,0000,0000,0,199121,0000,0000
"Pottawattamie, IA",19155,0,42854,0000,0000,0,45690,0000,0000,0,42913,0000,0000,0,42997,0000,0000,0,42850,0000,0000,0,43048,0000,0000,0,43090,0000,0000,0,43460,0000,0000,0,43592,0000,0000,0,43844,0000,0000
"Poweshiek, IA",19157,0,9040,0000,0000,0,9257,0000,0000,0,9047,0000,0000,0,9050,0000,0000,0,9063,0000,0000,0,9018,0000,0000,0,9053,0000,0000,0,9043,0000,0000,0,8976,0000,0000,0,9006,0000,0000
"Ringgold, IA",19159,0,2652,0000,0000,0,2492,0000,0000,0,2652,0000,0000,0,2650,0000,0000,0,2621,0000,0000,0,2583,0000,0000,0,2570,0000,0000,0,2551,0000,0000,0,2529,0000,0000,0,2495,0000,0000
"Sac, IA",19161,0,5632,0000,0000,0,5064,0000,0000,0,5632,0000,0000,0,5606,0000,0000,0,5559,0000,0000,0,5417,0000,0000,0,5345,0000,0000,0,5276,0000,0000,0,5184,0000,0000,0,5149,0000,0000
"Scott, IA",19163,0,77627,0000,0000,0,80977,0000,0000,0,77638,0000,0000,0,77663,0000,0000,0,77597,0000,0000,0,77760,0000,0000,0,77798,0000,0000,0,78032,0000,0000,0,78362,0000,0000,0,79058,0000,0000
"Shelby, IA",19165,0,6448,0000,0000,0,5942,0000,0000,0,6392,0000,0000,0,6390,0000,0000,0,6353,0000,0000,0,6283,0000,0000,0,6261,0000,0000,0,6224,0000,0000,0,6128,0000,0000,0,6081,0000,0000
"Sioux, IA",19167,0,15493,0000,0000,0,16831,0000,0000,0,15493,0000,0000,0,15486,0000,0000,0,15619,0000,0000,0,15670,0000,0000,0,15642,0000,0000,0,15704,0000,0000,0,15748,0000,0000,0,15835,0000,0000
"Story, IA",19169,0,40887,0000,0000,0,46412,0000,0000,0,40887,0000,0000,0,40959,0000,0000,0,40909,0000,0000,0,41809,0000,0000,0,41646,0000,0000,0,41925,0000,0000,0,41821,0000,0000,0,42690,0000,0000
"Tama, IA",19171,0,8893,0000,0000,0,8731,0000,0000,0,8893,0000,0000,0,8883,0000,0000,0,8873,0000,0000,0,8816,0000,0000,0,8805,0000,0000,0,8880,0000,0000,0,8884,0000,0000,0,8838,0000,0000
"Taylor, IA",19173,0,3374,0000,0000,0,3147,0000,0000,0,3374,0000,0000,0,3384,0000,0000,0,3338,0000,0000,0,3306,0000,0000,0,3281,0000,0000,0,3259,0000,0000,0,3196,0000,0000,0,3209,0000,0000
"Union, IA",19175,0,5900,0000,0000,0,6106,0000,0000,0,5900,0000,0000,0,5886,0000,0000,0,5856,0000,0000,0,5808,0000,0000,0,5704,0000,0000,0,5722,0000,0000,0,5750,0000,0000,0,5799,0000,0000
"Van Buren, IA",19177,0,3894,0000,0000,0,3806,0000,0000,0,3894,0000,0000,0,3898,0000,0000,0,3856,0000,0000,0,3857,0000,0000,0,3821,0000,0000,0,3817,0000,0000,0,3800,0000,0000,0,3815,0000,0000
"Wapello, IA",19179,0,17545,0000,0000,0,17422,0000,0000,0,17545,0000,0000,0,17527,0000,0000,0,17523,0000,0000,0,17481,0000,0000,0,17454,0000,0000,0,17452,0000,0000,0,17528,0000,0000,0,17489,0000,0000
"Warren, IA",19181,0,19768,0000,0000,0,22507,0000,0000,0,19768,0000,0000,0,19827,0000,0000,0,19960,0000,0000,0,20139,0000,0000,0,20538,0000,0000,0,20719,0000,0000,0,21094,0000,0000,0,21463,0000,0000
"Washington, IA",19183,0,9961,0000,0000,0,10626,0000,0000,0,9961,0000,0000,0,9978,0000,0000,0,10124,0000,0000,0,10137,0000,0000,0,10169,0000,0000,0,10194,0000,0000,0,10216,0000,0000,0,10267,0000,0000
"Wayne, IA",19185,0,3219,0000,0000,0,3118,0000,0000,0,3219,0000,0000,0,3215,0000,0000,0,3173,0000,0000,0,3167,0000,0000,0,3133,0000,0000,0,3102,0000,0000,0,3064,0000,0000,0,3053,0000,0000
"Webster, IA",19187,0,20143,0000,0000,0,19467,0000,0000,0,20143,0000,0000,0,20127,0000,0000,0,20092,0000,0000,0,19979,0000,0000,0,19900,0000,0000,0,19732,0000,0000,0,19585,0000,0000,0,19582,0000,0000
"Winnebago, IA",19189,0,5728,0000,0000,0,5383,0000,0000,0,5728,0000,0000,0,5740,0000,0000,0,5631,0000,0000,0,5514,0000,0000,0,5526,0000,0000,0,5465,0000,0000,0,5461,0000,0000,0,5361,0000,0000
"Winneshiek, IA",19191,0,10480,0000,0000,0,10450,0000,0000,0,10480,0000,0000,0,10472,0000,0000,0,10448,0000,0000,0,10419,0000,0000,0,10332,0000,0000,0,10336,0000,0000,0,10314,0000,0000,0,10283,0000,0000
"Woodbury, IA",19193,0,50915,0000,0000,0,50394,0000,0000,0,50915,0000,0000,0,50915,0000,0000,0,50640,0000,0000,0,50498,0000,0000,0,50222,0000,0000,0,50115,0000,0000,0,49555,0000,0000,0,49731,0000,0000
"Worth, IA",19195,0,3925,0000,0000,0,3786,0000,0000,0,3925,0000,0000,0,3922,0000,0000,0,3865,0000,0000,0,3877,0000,0000,0,3848,0000,0000,0,3849,0000,0000,0,3843,0000,0000,0,3814,0000,0000
"Wright, IA",19197,0,7027,0000,0000,0,6575,0000,0000,0,7027,0000,0000,0,7022,0000,0000,0,6899,0000,0000,0,6811,0000,0000,0,6731,0000,0000,0,6693,0000,0000,0,6637,0000,0000,0,6547,0000,0000
KANSAS,20000,0,1328474,0000,0000,0,1415408,0000,0000,0,1328670,0000,0000,0,1330751,0000,0000,0,1336087,0000,0000,0,1341599,0000,0000,0,1345576,0000,0000,0,1350889,0000,0000,0,1356510,0000,0000,0,1366384,0000,0000
"Allen, KS",20001,0,7029,0000,0000,0,6525,0000,0000,0,7030,0000,0000,0,7031,0000,0000,0,6917,0000,0000,0,6882,0000,0000,0,6771,0000,0000,0,6768,0000,0000,0,6674,0000,0000,0,6628,0000,0000
"Anderson, KS",20003,0,3987,0000,0000,0,4013,0000,0000,0,3987,0000,0000,0,3979,0000,0000,0,4036,0000,0000,0,3999,0000,0000,0,4010,0000,0000,0,3956,0000,0000,0,3939,0000,0000,0,3907,0000,0000
"Atchison, KS",20005,0,8097,0000,0000,0,8236,0000,0000,0,8097,0000,0000,0,8093,0000,0000,0,8120,0000,0000,0,8077,0000,0000,0,8067,0000,0000,0,8093,0000,0000,0,8045,0000,0000,0,8045,0000,0000
